ironbow,white_hot,black_hot,rainbow,hog,mellow_yellow
0xff0091f9,0xff848484,0xff7a7a7a,0xfff70800,0xffd3d3d3,0xff548ea6
0xff0095fa,0xff868686,0xff787878,0xfff30c00,0xffd5d5d5,0xff558fa7
0xff009afb,0xff888888,0xff767676,0xffef1000,0xffd6d6d6,0xff5690a8
0xff009ffc,0xff8a8a8a,0xff747474,0xffeb1400,0xffd8d8d8,0xff5792a9
0xff00a3fd,0xff8c8c8c,0xff737373,0xffe71800,0xffdadada,0xff5893aa
0xff00a8fd,0xff8e8e8e,0xff717171,0xffe31c00,0xffdbdbdb,0xff5894ab
0xff00acfd,0xff909090,0xff6f6f6f,0xffdf2000,0xffdddddd,0xff5996ac
0xff00b0fe,0xff929292,0xff6e6e6e,0xffdb2400,0xffdfdfdf,0xff5a97ad
0xff00b3fe,0xff949494,0xff6c6c6c,0xffd72800,0xffe1e1e1,0xff5b98ae
0xff00b8fe,0xff969696,0xff6a6a6a,0xffd32c00,0xffe2e2e2,0xff5c9aaf
0xff00bbfe,0xff989898,0xff686868,0xffcf3000,0xffe4e4e4,0xff5d9bb0
0xff00bffe,0xff9a9a9a,0xff676767,0xffcb3400,0xffe6e6e6,0xff5d9cb1
0xff00c3fe,0xff9c9c9c,0xff656565,0xffc73800,0xffe8e8e8,0xff5e9eb2
0xff00c7fe,0xff9e9e9e,0xff636363,0xffc33c00,0xffe9e9e9,0xff5f9fb3
0xff01cafe,0xffa0a0a0,0xff626262,0xffbf4000,0xffebebeb,0xff60a1b4
0xff02cdfe,0xffa2a2a2,0xff606060,0xffbb4400,0xff7575fa,0xff61a2b5
0xff05d0fe,0xffa4a4a4,0xff5e5e5e,0xffb74800,0xff7373fa,0xff62a3b6
0xff09d4fe,0xffa6a6a6,0xff5c5c5c,0xffb34c00,0xff7071fa,0xff62a5b8
0xff0cd8fe,0xffa8a8a8,0xff5b5b5b,0xffaf5000,0xff6e6efa,0xff63a6b9
0xff0fdbff,0xffaaaaaa,0xff595959,0xffab5400,0xff6c6cfa,0xff64a7ba
0xff17ddff,0xffacacac,0xff575757,0xffa75800,0xff6a6afa,0xff65a9bb
0xff20e0ff,0xffaeaeae,0xff555555,0xffa35c00,0xff6768fa,0xff66aabc
0xff27e3ff,0xffb0b0b0,0xff545454,0xff9f6000,0xff6566fa,0xff67abbd
